names_clean,names_raw,region_id,repo_id,date_num,vol_capacity_mean,vol_capacity_ste,sa_capacity,mean_x_pos,mean_y_pos
wMirzanagar_12212016_112_b,w_Mirzanagar_12212016_112_b,35,22052,736685,530.796559898829,106.388922290996,353,710257.1899441,2651987.162409
wMirzanagar_12212016_113_b,w_Mirzanagar_12212016_113_b,35,22053,736685,831.167574030895,216.668526548478,481,710235.238643333,2651992.79140444
wMirzanagar_12212016_114_b,w_Mirzanagar_12212016_114_b,35,22054,736685,1615.8614365872,463.78298973854,821,710239.7402845,2652023.27245
wMirzanagar_12212016_115_b,w_Mirzanagar_12212016_115_b,35,22055,736685,740.899574509493,153.749692475556,505,710222.103690111,2652019.03349778
wMirzanagar_12212016_116_b,w_Mirzanagar_12212016_116_b,35,22056,736685,915.760517684197,214.482987493189,582,710205.979849571,2652024.71405571
wMirzanagar_12212016_117_b,w_Mirzanagar_12212016_117_b,35,22057,736685,900.906540855286,199.222450980698,551,710192.571445364,2652023.77497
wMirzanagar_12212016_118_n,w_Mirzanagar_12212016_118,35,22058,736685,24.3970289893826,1.16972696765553,30,710206.66518,2651986.291361
wMirzanagar_12212016_119_n,w_Mirzanagar_12212016_119,35,22059,736685,50.0677752307235,3.09655144004211,52,710199.005100545,2651988.64682
wMirzanagar_12212016_11_b,w_Mirzanagar_12212016_11_b,35,21951,736685,3144.91615873285,839.825917833511,1285,710760.11067725,2651811.943955
wMirzanagar_12212016_120_n,w_Mirzanagar_12212016_120,35,22060,736685,150.870764265619,23.7069596965537,128,710189.580456909,2651992.08616182
wMirzanagar_12212016_121_b,w_Mirzanagar_12212016_121_b,35,22061,736685,2502.55043701446,778.552683026624,1120,710167.265330286,2652023.34081143
wMirzanagar_12212016_122_b,w_Mirzanagar_12212016_122_b,35,22062,736685,1314.48117973429,333.810633243531,697,710137.415313333,2652035.26324867
wMirzanagar_12212016_123_b,w_Mirzanagar_12212016_123_b,35,22063,736685,1475.54682173696,348.576229258226,783,710118.000051583,2652033.561455
wMirzanagar_12212016_124_b,w_Mirzanagar_12212016_124_b,35,22064,736685,2056.93896704855,478.256899774265,965,710095.8897285,2652034.475732
wMirzanagar_12212016_125_b,w_Mirzanagar_12212016_125_b,35,22065,736685,1360.11749597789,358.755615063395,764,710075.95938,2652034.71727
wMirzanagar_12212016_126_b,w_Mirzanagar_12212016_126_b,35,22066,736685,1934.09068962679,563.590327216691,929,710054.522518455,2652046.87992727
wMirzanagar_12212016_127_n,w_Mirzanagar_12212016_127,35,22067,736685,379.005264564665,69.9050334117218,279,710045.822865933,2652014.79691667
wMirzanagar_12212016_128_b,w_Mirzanagar_12212016_128_b,35,22068,736685,744.49240251315,164.856882819131,435,710024.826701333,2652050.48803889
wMirzanagar_12212016_129_b,w_Mirzanagar_12212016_129_b,35,22069,736685,521.663328021422,135.731654229166,362,710021.902742167,2652013.51511417
wMirzanagar_12212016_12_b,w_Mirzanagar_12212016_12_b,35,21952,736685,2269.81465921582,716.506929309418,1050,710795.9604265,2651828.162306
wMirzanagar_12212016_130_b,w_Mirzanagar_12212016_130_b,35,22070,736685,856.324111132621,226.986131664589,519,710002.256516643,2652018.52409929
wMirzanagar_12212016_131_n,w_Mirzanagar_12212016_131,35,22071,736685,41.0788880644874,3.24262594300273,46,709999.394596,2652029.55078727
wMirzanagar_12212016_132_n,w_Mirzanagar_12212016_132,35,22072,736685,126.233714055992,18.4918259697908,108,710005.643617429,2652043.73535857
wMirzanagar_12212016_133_tt,w_Mirzanagar_12212016_133_tt,35,22073,736685,54.1582886311402,3.43003579691909,62,709998.1969186,2652049.612641
wMirzanagar_12212016_134_n,w_Mirzanagar_12212016_134,35,22074,736685,152.527363020949,19.5439501895105,143,709990.3892615,2652052.201324
wMirzanagar_12212016_135_b,w_Mirzanagar_12212016_135_b,35,22075,736685,1023.73917515215,267.378920063702,559,709975.645948778,2652051.80551111
wMirzanagar_12212016_136_b,w_Mirzanagar_12212016_136_b,35,22076,736685,17751.2030550424,1746.43240910304,4150,709969.44974315,2651963.933884
wMirzanagar_12212016_137_b,w_Mirzanagar_12212016_137_b,35,22077,736685,7506.26802864586,1643.56588024706,2263,709938.989635125,2651998.07519188
wMirzanagar_12212016_138_n,w_Mirzanagar_12212016_138,35,22078,736685,200.006910789482,36.2863725468258,173,709954.781591375,2652049.75347625
wMirzanagar_12212016_139_n,w_Mirzanagar_12212016_139,35,22079,736685,186.193100272972,26.3275609881189,153,709938.952933737,2652055.0854221
wMirzanagar_12212016_13_b,w_Mirzanagar_12212016_13_b,35,21953,736685,2458.92056912042,648.562382889416,1075,710825.979221312,2651860.60928125
wMirzanagar_12212016_140_n,w_Mirzanagar_12212016_140,35,22080,736685,177.841463813068,34.9608991482102,149,709923.574089357,2652055.19498857
wMirzanagar_12212016_141_b,w_Mirzanagar_12212016_141_b,35,22081,736685,7021.68033227034,1523.15443212026,2108,709898.685375846,2652020.68324308
wMirzanagar_12212016_142_n,w_Mirzanagar_12212016_142,35,22082,736685,531.897738138543,102.333015045062,395,709866.4453085,2652027.60237357
wMirzanagar_12212016_143_n,w_Mirzanagar_12212016_143,35,22083,736685,71.9934813996706,8.3641075932168,72,709881.037355923,2652057.91870231
wMirzanagar_12212016_144_n,w_Mirzanagar_12212016_144,35,22084,736685,52.5214367785621,3.31312966017802,58,709872.971033,2652059.62278182
wMirzanagar_12212016_145_n,w_Mirzanagar_12212016_145,35,22085,736685,247.2623350239,48.3346471784383,196,709861.576895857,2652056.64691643
wMirzanagar_12212016_146_n,w_Mirzanagar_12212016_146,35,22086,736685,154.401299210609,14.51617747667,148,709858.71102325,2652029.7085725
wMirzanagar_12212016_147_n,w_Mirzanagar_12212016_147,35,22087,736685,28.7702887703909,1.59495513903572,35,709854.711766091,2652038.84900909
wMirzanagar_12212016_148_n,w_Mirzanagar_12212016_148,35,22088,736685,38.8183013439403,2.32655949939341,46,709852.164092546,2652029.22681909
wMirzanagar_12212016_149_n,w_Mirzanagar_12212016_149,35,22089,736685,173.358382114278,25.3789795132405,148,709845.843312929,2652037.48817357
wMirzanagar_12212016_14_b,w_Mirzanagar_12212016_14_b,35,21954,736685,827.170952573228,216.372831238994,491,710886.981331778,2651858.49886667
wMirzanagar_12212016_150_n,w_Mirzanagar_12212016_150,35,22090,736685,282.369619084019,58.7227099069261,206,709833.663546,2652035.795232
wMirzanagar_12212016_151_n,w_Mirzanagar_12212016_151,35,22091,736685,166.875871649604,28.0473789536872,143,709849.466732546,2652057.31011
