names_clean,names_raw,region_id,rep_id,date_num
Bahirchar_01132016_15_b,Bahirchar_01132016_15_b,2,25603,736342
Bahirchar_01132016_16_b,Bahirchar_01132016_16_b,2,25604,736342
Bahirchar_01132016_17_b,Bahirchar_01132016_17_b,2,25605,736342
Bahirchar_01132016_18_b,Bahirchar_01132016_18_b,2,25606,736342
Bahirchar_01132016_19_b,Bahirchar_01132016_19_b,2,25607,736342
Bahirchar_01132016_1_n,Bahirchar_01132016_1,2,25589,736342
Bahirchar_01132016_20_b,Bahirchar_01132016_20_b,2,25608,736342
Bahirchar_01132016_21_b,Bahirchar_01132016_21_b,2,25609,736342
Bahirchar_01132016_22_b,Bahirchar_01132016_22_b,2,25610,736342
Bahirchar_01132016_23_b,Bahirchar_01132016_23_b,2,25611,736342
Bahirchar_01132016_24_b,Bahirchar_01132016_24_b,2,25612,736342
Bahirchar_01132016_25_b,Bahirchar_01132016_25_b,2,25613,736342
Bahirchar_01132016_2_n,Bahirchar_01132016_2,2,25590,736342
Bahirchar_01132016_3_n,Bahirchar_01132016_3,2,25591,736342
Bahirchar_01132016_4_b,Bahirchar_01132016_4_b,2,25592,736342
Bahirchar_01132016_5_n,Bahirchar_01132016_5,2,25593,736342
Bahirchar_01132016_6_n,Bahirchar_01132016_6,2,25594,736342
Bahirchar_01132016_7_n,Bahirchar_01132016_7,2,25595,736342
Bahirchar_01132016_8_b,Bahirchar_01132016_8_b,2,25596,736342
Bahirchar_01132016_9_b,Bahirchar_01132016_9_b,2,25597,736342
Bahirchar_01172011_10_n,Bahirchar_01172011_10,2,25154,734520
Bahirchar_01172011_11_n,Bahirchar_01172011_11,2,25155,734520
Bahirchar_01172011_12_n,Bahirchar_01172011_12,2,25156,734520
Bahirchar_01172011_13_n,Bahirchar_01172011_13,2,25157,734520
Bahirchar_01172011_14_tt,Bahirchar_01172011_14_tt,2,25158,734520
Bahirchar_01172011_15_tt,Bahirchar_01172011_15_tt,2,25159,734520
Bahirchar_01172011_16_tt,Bahirchar_01172011_16_tt,2,25160,734520
Bahirchar_01172011_17_n,Bahirchar_01172011_17,2,25161,734520
Bahirchar_01172011_18_n,Bahirchar_01172011_18,2,25162,734520
Bahirchar_01172011_19_n,Bahirchar_01172011_19,2,25163,734520
Bahirchar_01172011_1_n,Bahirchar_01172011_1,2,25145,734520
Bahirchar_01172011_20_n,Bahirchar_01172011_20,2,25164,734520
Bahirchar_01172011_21_tt,Bahirchar_01172011_21_tt,2,25165,734520
Bahirchar_01172011_22_tt,Bahirchar_01172011_22_tt,2,25166,734520
Bahirchar_01172011_23_n,Bahirchar_01172011_23,2,25167,734520
Bahirchar_01172011_24_tt,Bahirchar_01172011_24_tt,2,25168,734520
Bahirchar_01172011_25_tt,Bahirchar_01172011_25_tt,2,25169,734520
Bahirchar_01172011_26_n,Bahirchar_01172011_26,2,25170,734520
Bahirchar_01172011_27_n,Bahirchar_01172011_27,2,25171,734520
Bahirchar_01172011_28_n,Bahirchar_01172011_28,2,25172,734520
Bahirchar_01172011_29_tt,Bahirchar_01172011_29_tt,2,25173,734520
Bahirchar_01172011_2_n,Bahirchar_01172011_2,2,25146,734520
Bahirchar_01172011_30_n,Bahirchar_01172011_30,2,25174,734520
Bahirchar_01172011_31_n,Bahirchar_01172011_31,2,25175,734520
Bahirchar_01172011_32_tt,Bahirchar_01172011_32_tt,2,25176,734520
Bahirchar_01172011_33_tt,Bahirchar_01172011_33_tt,2,25177,734520
Bahirchar_01172011_34_tt,Bahirchar_01172011_34_tt,2,25178,734520
Bahirchar_01172011_35_n,Bahirchar_01172011_35,2,25179,734520
Bahirchar_01172011_36_tt,Bahirchar_01172011_36_tt,2,25180,734520
Bahirchar_01172011_37_n,Bahirchar_01172011_37,2,25181,734520
Bahirchar_01172011_38_tt,Bahirchar_01172011_38_tt,2,25182,734520
Bahirchar_01172011_39_n,Bahirchar_01172011_39,2,25183,734520
Bahirchar_01172011_3_n,Bahirchar_01172011_3,2,25147,734520
Bahirchar_01172011_40_tt,Bahirchar_01172011_40_tt,2,25184,734520
Bahirchar_01172011_41_tt,Bahirchar_01172011_41_tt,2,25185,734520
Bahirchar_01172011_42_tt,Bahirchar_01172011_42_tt,2,25186,734520
Bahirchar_01172011_43_tt,Bahirchar_01172011_43_tt,2,25187,734520
Bahirchar_01172011_44_tt,Bahirchar_01172011_44_tt,2,25188,734520
Bahirchar_01172011_45_tt,Bahirchar_01172011_45_tt,2,25189,734520
Bahirchar_01172011_46_tt,Bahirchar_01172011_46_tt,2,25190,734520
Bahirchar_01172011_47_tt,Bahirchar_01172011_47_tt,2,25191,734520
Bahirchar_01172011_48_n,Bahirchar_01172011_48,2,25192,734520
Bahirchar_01172011_49_n,Bahirchar_01172011_49,2,25193,734520
Bahirchar_01172011_4_n,Bahirchar_01172011_4,2,25148,734520
Bahirchar_01172011_50_tt,Bahirchar_01172011_50_tt,2,25194,734520
Bahirchar_01172011_51_tt,Bahirchar_01172011_51_tt,2,25195,734520
