FID,Id,name,area,ORIG_FID,POINT_X,POINT_Y
17726,0,f26_160226,1206,145,-576513.243192999970000,-691404.842389000000000
17727,0,f26_160226,1206,145,-576514.380450000060000,-691405.972050999990000
17728,0,f26_160226,1206,145,-576515.364058000040000,-691406.552858000040000
17729,0,f26_160226,1206,145,-576516.424441999990000,-691407.408094999960000
17730,0,f26_160226,1206,145,-576517.157021000050000,-691408.069724999950000
17731,0,f26_160226,1206,145,-576518.294279000020000,-691409.199386000050000
17732,0,f26_160226,1206,145,-576519.103634999950000,-691410.135446000030000
17733,0,f26_160226,1206,145,-576520.164020000030000,-691410.990682999950000
17734,0,f26_160226,1206,145,-576520.722348000040000,-691412.007566999990000
17735,0,f26_160226,1206,145,-576521.357355999990000,-691413.298885999950000
17736,0,f26_160226,1206,145,-576522.243490000020000,-691414.509376000030000
17737,0,f26_160226,1206,145,-576523.129624000050000,-691415.719866000000000
17738,0,f26_160226,1206,145,-576523.513597000040000,-691417.091892999950000
17739,0,f26_160226,1206,145,-576523.897674000010000,-691418.464031000040000
17740,0,f26_160226,1206,145,-576524.455905999990000,-691419.480920000000000
17741,0,f26_160226,1206,145,-576524.763110000060000,-691420.578634000030000
17742,0,f26_160226,1206,145,-576525.070306999960000,-691421.676230999990000
17743,0,f26_160226,1206,145,-576525.607840999960000,-691423.597233999990000
17744,0,f26_160226,1206,145,-576525.991821000000000,-691424.969375999990000
17745,0,f26_160226,1206,145,-576526.145374999960000,-691425.518235999970000
17746,0,f26_160226,1206,145,-576526.682998999950000,-691427.439115999960000
17747,0,f26_160226,1206,145,-576527.220533999960000,-691429.360117999950000
17748,0,f26_160226,1206,145,-576527.527738000030000,-691430.457830999980000
17749,0,f26_160226,1206,145,-576527.911712000030000,-691431.829858000040000
17750,0,f26_160226,1206,145,-576528.295692999960000,-691433.202000000050000
17751,0,f26_160226,1206,145,-576528.679674000010000,-691434.574142000060000
17752,0,f26_160226,1206,145,-576529.140432000040000,-691436.220714000050000
17753,0,f26_160226,1206,145,-576529.678058000050000,-691438.141593000040000
17754,0,f26_160226,1206,145,-576530.062038999980000,-691439.513735000040000
17755,0,f26_160226,1206,145,-576530.522790999970000,-691441.160190999970000
17756,0,f26_160226,1206,145,-576530.906772000020000,-691442.532332999980000
17757,0,f26_160226,1206,145,-576531.213976999980000,-691443.630045000000000
17758,0,f26_160226,1206,145,-576530.439990999990000,-691444.776526000000000
17759,0,f26_160226,1206,145,-576529.261428000060000,-691445.455087000040000
17760,0,f26_160226,1206,145,-576528.508145999980000,-691445.697570999970000
17761,0,f26_160226,1206,145,-576527.252702999980000,-691446.101593000000000
17762,0,f26_160226,1206,145,-576525.746236999980000,-691446.586555000050000
